2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 47 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 48 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 49 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 50 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 51 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 52 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 53 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 54 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 55 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 56 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 57 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 58 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 59 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 60 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 61 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 62 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 63 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 64 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 65 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 66 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 67 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 68 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 69 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 70 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 71 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 72 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:18 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 73 failed: 'NoneType' object has no attribute 'has'
